"json_extract( `ai_response`, '$.data.content')"
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n\"" stop! \"" Doughs shut at them with a land voice. The man looked at\nhim, continued to assaulting. \"" I have called phinman. Daylar said, listening to the\ncought\nword. the man tried to run. seeing this, Doughs immediately him, didn't leave him\nruning. It didn't take long time before police got, Daylis the man to the police\nThe woman who saved by Pangles made a simely a attitude to Dangles.\n\"" My nume is lemi thinks to saving me. \"" Dangles didn't say to much. he most\nsay to\nwere back to the bus, there wre many passengers waiting to him.\npassengers conveys\n  Two weeks after the assault, Douglas visited Terri at her home. _ lervi is already recovered she\nshowed her attitude to Dayle again and ask him? Why did yous save me, you\ngirl a bus driver you had many passages on the bis \"" without thinking\nto much at. that time, There was only one thing in his mind that He must.\nto save her or she would die. Though it's not on my rate, I condue see a people\ndying in front of me, You need my help. \"" listening his words. Terr was so tuched\nthat tewing welling up in her eyes. It was not until that the slermlized that\nIt doesn't matter what rate is\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few sieps over to them.\n\""\nsee\n  You are killing her! \"" shouted at the man, Douglas tried to stop\nhim. However, he failed. The man stopped assaulting the woman, instead, he\nturned to assault Douglas. Douglas went to great lengths to protect\nhimself from assault. but it didn't work. The woman came to prevent\nthe man from assaulting Douglas at the moment Dauglas was likely\nto die. The man pushed away the woman, and she was badly hurt.\n  Just at the moment, the police came and took the man away. It\nwas June Jurrett who called the police and rushed Danglas and the\nwoman, who called Terri to the hospital.\n  Two weeks after the assault, Douglas visited Terri at her home. _ Her injuries were almost recover.\n- Terri expressed her appreciate to Douglas for his save at the risk\nof hurt. Douglas told her it. didn't matter. and it was her who\nsave him when he was nearly to die - under the man's assault.\nThey looked at each other and laughed. Since then, they have\nbecome good friends. Douglas often came to Terri's house to take\nher around as she was not convinced. There won't be a warmer\nthing than helping a person who you never see before.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\nTo stop the man from attracking for the woman. Danglas tried\nto spreate from two of them, to let the wo men out of danger.\n  As fast as he could. rushed there and pushed the man\nto one side and let the women behind him to stop her for\nthe second attrack With the man's appiontment. not to take on the\nbusiness, Danglas refused and fought for the man to got the woman's wallet.\n  When Terri saw this. she get down the bus and let the women\nto some where safe. Finally, the woman get her wallet\n  Two weeks after the assault, Douglas visited Terri at her home. _ - After for this. Terri said\nsorry for Danglas of her impoliet. Thanks for his help to the\nBecause the woman was her best friend. Because his bravery,\nso her can release the danger.\n"""
"""  He grabbed a neavy four-foot-long stick from a consiruction siic nearby. Dougias ran the few sieps over io them.\n  His heart punding rapidly, he was aware that he was doing\nsomething dangerly. Shouting in his loudest voice, he ordered\n\"" Stop? This incident is not allowed by the law. \"" To\nhis astonishment, perhaps that his old body was thought\nto be no threat for the young man, the young man was\nstill attacking the woman without interruption. Without\nhesitation, having the defination of killing the man, he went\ntoward the man to preserve the woman. Finally, with his\nkind agency, theman was hitted to the road, and the woman who\nnamed Terri\nate and sound.\n\"" Wo beeks after he assaul, bouglas visited terriat her home. He knew that it must be\na shock for a lonely woman who had no choice but to\nuse walker to walk. And it was necessary that he take\ncare of the woman. \"" How are you? \"" he asked. I'm\n'm\ntime, thank you, \"" with gettinde, ferri answered. If he\nhadn't given her a helping hand, the end of the assault would\nhave been greatly different, as all of the people withessing\nthe attack known. She said You are the light which brings\nmade\nmy life bright. Your unselfish out come really\nmy entire word upside down. You accurred to me that kindness is\nin all places\n"""
"""  He grabbed a heavy four-foot-iong stick from a construction site nearby. Douglas ran the few isieps over to them.\n  Douglas shouted to stop the man and stood in front of the\nwoman to protect her. Dauglas could feel the anger growing\nbubbling up inside him, his hands culling into fists. Looking at\nhis performance, the young man took a knife on his hand\n  With the young man walking nearly, Donglas was almost frozen\nwith fear. But he told himself to calm down. Donglas took a deep\nbreath to get the woman's wallet, but the young hurt him and\nran away. Douglas was rushed to the hospital. The bus passengers\nand people who walked by mithessing the attack gasped\n  Two weeks after the assault, Douglas visited Terri at her home. _ To Terri's surprise, she\nwelcome him with happiness and asked him about his injury.\n  Dauglas answered patiently smile, tolding her the man\nwho staned at her and stole her wallet was punished. Listening\nto this, Terri thanked for Douglas genuinely, if he didn't\nstand out to help her on that day, the consequence couldn't\nknow how much. Douglas accepted her thankness, a smile creeping\nacross his face. On the way home, Douglas knew that being\nhelpful and brave could bring more meaningful things!\n"""
"""  He grabbed a neavy four-foot-long stick from a consiruction siie nearby. Douglas ran the few steps over to them.\n\"" Step! \"" Douglas shouted at the man. However, the man looked at\nhim up and down, continuing his assault. Without hesitate, Deuglas\ncalled the police. Hearing his call the man stopped his attack and wanted\nto run away. At that moment, Douglas dragged him and prevented\nhim from running. Meanwhile, he pulled up the woman and gave her\nwallet back. It wasn't long before the police arrived at the\nsidewalk. After the police took the man to the police station, Douglas\nsent thewoman to the hospital and had a check. Fortunately,\nthe woman didn't get injured greatly.\n  Two weeks after the assault, Douglas visited Terri at her home. _ With the door opened, Terrigare\nDouglas a big hug. To her excitement, Terri expressed her gratitude\nfor Douglas. \"" I was so scered at that time, I really didn't know\nill\nwhat to do without you. \"" Terri said, with tears in her eyes. \"" I prepare\na present for you please receive it. \"" She gave a gift to\nDouglas. \"" Sorry, I can't accept it. I believe that whoever spotted\nthe assault would help you. Otherwise, I visit you to check that\nwhether you have been recovered, not for gift. \"" Vltimately, Danglas\ndidn't accept the gift because be did every thing just for his\nheart\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ian the few steps over to them.\n  But the man saw Douglas, then he started to run away. Danglas\nimmediately called the police with his phone. He continued to run after the\nman. He called on more people to help him. The people on the road also\nwanted to offer a help, so they ran after the man immediately. Some\nof them went to the injuried woman and called the hospital.\nDanglas wanted to stop him, so he changed a way. He then drove a\ncar to run after. Luckily, the man ran into a corner and Dongles\ncould catch him.\n  Two weeks after the assault, Douglas visited Terri at her home. _ Yom felt excited when Dongles\ncoming. Douglas saved her life at that moment. Terri said thanks to\nDoughs a lot of times. She wanted to give some money to Dongles because\nof his bravery. But Donglas confused. He said that he was willing to help\npeople who had difficulties. He once helped a lot of people with all kinds\nof problems. The woman showed his experiences to the social media.\nMore and more people know Douglas' staries. More and more people want to\nstudy him.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction siic nearby. Douglas ran the few steps over to them.\nwho was keep fighting with the woman\n  He attack the\nman\nsuddenly. Not realizing someone was behind and because of the\nforce from behind. The man fell on the sidenalk and\nthe mallet dropped from his hand. Donglas took out a line\nand tied the man to the beside He gave a hand\nto the woman who was still lying on the sidewolk and gave\nher wallet back The Douglas called the hospital and the\npolice. sending the woman who Termi to take a\nchad...\n  Two weeks after the assault, Douglas visited Terri at her home. _ Terri was so thankful to\nDangles that she keeps saying thanks. Danglas told her that\nthere's nothing. It's every citizen's duty to fight with the\nbad one. Then he got out a and went back home. Son after,\nanews was cirk at that a bas driver help a woman\nwho was attacking by a young man which tried to state her\nwallet. It makes Dangles to be acknowledged by many more\npeople and told the citizens how to fight with the bad men\nproperly. Everyone who is should protect themselves.\n"""
"""  He grabbed a neavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n  Though he was styer-old, he went to stop the vilence without hesitation.\nEncouraged by Daughos's action, June Junet decided to help him and jumped\nout first Daughts. The mader young man took the advantage in the beginning\nbut then he started to weak as Jarett's came. It was the time that more and\nmore people come here, the young man hurried to running out immediately when the\npublic came to help the women who her name was Terri. Dayles came\nto\ntake care of the women and took her to the hospital, Activing for her\nwilling\nmind and body health, Pengles decided to visit her two weeks.\n  Two weeks after the assault, Douglas visited Terri at her home Diaglas's kindness\nin that case where there were no people come to help her even sized nothin\nto the young man she preped a lot of money to Dangbs, but he retured\nHe said, It was my responsibility to help you, I had believed that everyone rever\nignore it. \"" Motivated by Danglass spirits, Tern sent her experience to the\nInternet which were quickly spread through social media. His spirits were\nawarded by the government. The good spilt will spread across the whole\nworld.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Dougias ran the few steps over to them.\n  Deugles quickly arrived thescene where the man assault. He joined the\nassault. A few mintues later, Douglas knocked the yound man down with the stick.\nAnd then the public trapped the young man and clapped Dauglas for his bravey.\nHowever, Dangla didn't care about the apploure, he took the wallet from\nthe young man and harried give it back to the woman who belonged it. After all\nthis, Danglas backed to his bus without hesitation and went on his\nroutejust like nothing happened\n  Two weeks after the assault, Douglas visited Terri at her home. Ierri hugged Daughas with gratuted.\nand thanked Danglas a lot for his behave. Terri said, \"" I didn't say thank\nn\nto you because you went out so quickly at time. \"" Danglas explains that he was\non the route of the public transport. They talked alot. Leri appleuded Daughtas that\non\nalthough it was not his route, but it was his kindness and bravey. From that day\non. Douglas kept Terri's words in mind that he always helped people who are indeed\nhelp. His stary went popular later, and everyone in the city applauded him. The whole\ncity said. \"" It was not on his route but his kindness and bravey\n"""
"""  He grabbed a neavy four-foot-long stick from a consiruction siie nearby. Douglas ran the few steps over to them.\nto\n  He shouted \"" stop! You're killing her. \"" But the man centinued\nhis assault. Danglas ran quickly to him and pick up the stick\nand prepared to the man. The man suddenly turn\naround and ready to kill Danglas in turn. Then Donglass hetched\nhim quick and the man died. It was safe then. But Donglas\nnoticed the woman would be bled to death. He called all and\ntake her to the hospital. The woman told him that her name\nis Terri and then tell into sleep. Donglas warried\nabout Terri\n  Two weeks after the assault, Douglas visited Terri at her home. levri was alive due to\ntwo large operations. She was badly hurt that she lost her\nlegs. Pauglas was sad to see her like this. He apologized to Terri\nthat he should quickly to getter and kill the man so that\nShe won't get so badly hurt. But Terri said, \"" I should say thanks to\nyou. Without you, I won't be here this time. The man had a\n-\nmentional disease and wanted to killed everyone. So I could be dead\nI _ without I you. \"" with tears flewing down her eyes, they hugged\ntogether. It was like a horror tilms. \"" They said, and then took\nI a deep breath, \"" It was all over.\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas rain the few steps over to them.\n  The woman was too weak to fight a muscular young man. Already feeling\npainful, she went togreat lengths to protect herself from assault.\n  Stop! \"" Douglas shouted, holding the long stick tightly. The young\nman left the woman, trying to escape with her wallet. Fast as\nDouglas chosed after the young man, hitting him with the long\nstick from back. and regain the wallet. June Jarrett called\npolice immediately before Douglas gave the wallet to the woman.\nPeople bursted out applauding. It was after Douglas helped woman.\nto get her nalker that he get in his bus and left.\n  Two weeks after the assault, Douglas visited Terri at her home. _ Consumed with qratitude, Terri\nheld Douglas's hand, tears welling up in her eyes. \"" Thank you\nfor your kindness. \"" Sheknew that without him, she wouldn't be\nwhere she was, with smiles on his face, he declined her money\nand gift as rewarding saying that his behavior came from heart.\nIt was not until that time that she realized that a man's kindness\ncan't be measured by materials. What he did that day had become\na memorial of his warm heart and heroism. Hopefully, the world.\nhe much better with more people like Danglus who offered\nhelping hand.\n"""
"""  He grabbed a neavy four-foot-long stick from a consirucion siie nearby. Dougias ran the few steps over to them.\n  Shaking his stick in his hands, Douglas shouted angrily. \"" Stop! Now! \""\nHowever, the muscular young man kept hitting the woman, It's none\nof your business. \"" The man responded. Seeing the assault, people\ngot together. Except for Douglas, no one helped the woman. Under\nthe urgent circumstances, Douglas hitted the man with his stick violently\nwith heistation. Untimately, the man couldn't bear the injury and\nran away. The woman stood oup and said \"" My name is Term. This\nis my adress. Came and visit my hous two weeks later, passing\n  Daughs a card.\n  Two weeks after the assault, Douglas visited Terribut her home said clamly, I can't express\nmy grotitude to you in language. What you did really helpful. When\nthe man robbed me and assault me. I was so helpless and\nyou are my good. Thank you. \"" With Douglas face being red,\nhe touched his hand aimlessly and said. \"" I think it's my responsible.\nto help other when they are in need. \"" Tern letted Douglas sit\ndown and put some fruit and sweets. I hope you will be\ntreated as how youtreat others. What you have done will win the\npraises from others, Terri said movedly. Feeling finly touched. Douglas\nleft Terri's house.\n"""
"""  He grabbed a heavy four-foot-iong stick from a consiruction site nearby. Douglas ran the few steps over to them.\n  Seeingthe man had no action to June Jarrett's words\nand the woman hade no way to defenate, Douglas\nencouraged himself that he should go on and suspend\nthis assault. Douglas used the heavy four-loot-long\nstick from a construc jion site nearby in his hand. hit\nthe man, fearing that attack had no impact on the man.\nHe attacked the muscular me again. while let the\nman escape, lefting thewoman's wallet. Knowing the\nwoman named term. Pouglas brought her to but and sent\nher tophospital.\ntine\n  Two weeks after the assault, Douglas visited Terri at her home.\n  Terri had recovered and had a smile on her face.\n  Learning that Terri recovered, Donglas breathe a\nsign. I we old people looked at each other. with\n\""\nfears welling up from their eyes. \"" Thanks for your\nhelp, as if you didn't witness the assault. the matter\nwould even worse. \"" Nothing serious. that a man\nshould do, instead of rob an old woman's wallet and\neven attacked her. by his stronge. \"" After these words\nthey hugged each other and smile again\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n  Without hesitation, he used the stick to attack the man's\nback. As soon as the man turned back, he went to\ngreat lengths to catch and trap the man. However, as\nstronger\n  Pouglas was not musclarer than the muscular man,\nHe was attack attacked by the man and fell to the\nground. Just at the moment, police came in time and\ncaught the man. The woman hurried to Douglas and\nthanked him with gratitude ; saying she said her name\nher home.\nwas leri and gave Douglas her address toinvite him to\n  Two weeks after the assault, Douglas visited Terri home. _ _ With great gratitude,\nshe Terri expressed her thanks to Douglas again and\nagain. Douglas accepted her gratitude but said there\nnothing but a common behavior that everyone would\ndo at the situation. Looking at Terri's smile and tears\nwelling up in her eyes, it was not until then that he\nrealized that a small kind behavior can make a big\ndifference, which motivated him to continue his\nkindness\n"""
"""  He grabbed a heavy four-foot-long stick from a construction site nearby. Douglas ran the few steps over to them.\n\"" please stop, man, you couldn't assught the woman. ' After heaving\nthat, the man looked up at Donglas, seeing that Douglas had\na heavy four-foot-longstick. The man felt afraid and ran away\nimmediately. After seeing that, Douglas called the policeman\nand dashed to the woman who was hurt badly, June said \""\nI can take her to hospital, Seeing that June taok the woman\naway, Douglas went back to bus and keep working.\n  Two weeks after the assault, Douglas visited Terri home. _ _ Terri was surprised and very\nglad to see Douglas because it Douglas didn't stop the hab, she\nwould be killed. Terri thanked a lot to Douglas with warm tears\nfilled her eyes. Terri said : \"" Though it wasn't on your route, you\nare still brave enough to stand out to stop the bad man, thank\nyou. \"" Heaving that word, Douglas felt a Junshine Shining in his\nlife. He realized that though it wasn't on one's route, when\nsomeone needed help, everyone should give a helping hand.\n"""
